date,stock_id,transaction_type,volume,fee_rate,close,original_return_date,original_lending_period
2018-06-01,1304,議借,647,0.8,14.9,2018-11-30,182
2018-06-01,1304,議借,647,0.8,14.9,2018-11-30,182
2018-06-08,1304,議借,19,2.5,14.8,2018-12-07,182
2018-06-13,1304,議借,250,3.0,14.75,2018-12-13,183
2018-09-13,1304,議借,10,2.79,13.75,2019-03-13,181
2018-10-18,1304,議借,754,0.5,12.25,2019-04-18,182
2018-10-18,1304,議借,70,0.5,12.25,2019-04-18,182
2018-10-18,1304,議借,151,0.5,12.25,2019-04-18,182
2018-10-18,1304,議借,284,0.5,12.25,2019-04-18,182
2018-10-22,1304,競價,25,1.5,12.2,2019-04-22,182
2018-10-29,1304,競價,39,1.5,11.55,2019-04-29,182
2018-10-29,1304,競價,39,1.5,11.55,2019-04-29,182
2018-11-01,1304,議借,10,2.5,11.85,2019-05-01,181
2018-11-01,1304,議借,10,2.5,11.85,2019-05-01,181
2018-11-02,1304,議借,10,2.5,11.9,2019-05-02,181
2018-11-02,1304,議借,10,2.5,11.9,2019-05-02,181
2018-11-14,1304,競價,25,1.5,12.45,2019-05-14,181
2018-11-14,1304,競價,25,1.5,12.45,2019-05-14,181
2018-12-07,1304,議借,22,0.5,12.3,2019-06-06,181
2019-02-22,1304,競價,34,1.5,12.35,2019-08-22,181
2019-02-22,1304,競價,34,1.5,12.35,2019-08-22,181
2019-03-11,1304,議借,72,0.5,12.1,2019-09-11,184
2019-03-11,1304,議借,72,0.5,12.1,2019-09-11,184
2019-03-12,1304,議借,72,0.5,12.2,2019-09-12,184
2019-03-12,1304,議借,72,0.5,12.2,2019-09-12,184
2019-03-13,1304,競價,10,1.5,12.1,2019-09-12,183
2019-03-13,1304,競價,13,1.5,12.1,2019-09-12,183
2019-03-13,1304,競價,16,1.5,12.1,2019-09-12,183
2019-03-13,1304,競價,20,1.5,12.1,2019-09-12,183
2019-03-13,1304,競價,45,1.5,12.1,2019-09-12,183
2019-03-13,1304,競價,58,1.5,12.1,2019-09-12,183
2019-03-13,1304,競價,105,1.5,12.1,2019-09-12,183
2019-03-13,1304,競價,105,1.5,12.1,2019-09-12,183
2019-03-13,1304,競價,58,1.5,12.1,2019-09-12,183
2019-03-13,1304,競價,45,1.5,12.1,2019-09-12,183
2019-03-13,1304,競價,16,1.5,12.1,2019-09-12,183
2019-03-13,1304,競價,13,1.5,12.1,2019-09-12,183
2019-03-13,1304,競價,20,1.5,12.1,2019-09-12,183
2019-03-13,1304,競價,10,1.5,12.1,2019-09-12,183
2019-03-20,1304,議借,79,0.5,12.05,2019-09-20,184
2019-03-20,1304,議借,79,0.5,12.05,2019-09-20,184
2019-03-21,1304,議借,79,0.5,12.05,2019-09-20,183
2019-03-29,1304,競價,225,1.5,12.05,2019-09-27,182
2019-03-29,1304,議借,79,0.5,12.05,2019-09-27,182
2019-04-02,1304,議借,79,0.5,11.9,2019-10-02,183
2019-04-02,1304,議借,79,0.5,11.9,2019-10-02,183
2019-04-03,1304,議借,300,3.0,11.9,2019-10-03,183
2019-04-03,1304,議借,300,3.0,11.9,2019-10-03,183
2019-04-18,1304,議借,33,0.5,11.85,2019-10-18,183
2019-04-18,1304,議借,123,0.5,11.85,2019-10-18,183
2019-04-18,1304,議借,123,0.5,11.85,2019-10-18,183
2019-04-18,1304,議借,33,0.5,11.85,2019-10-18,183
2019-05-06,1304,競價,20,1.5,11.75,2019-11-06,184
2019-05-06,1304,競價,10,1.5,11.75,2019-11-06,184
2019-05-06,1304,競價,16,1.5,11.75,2019-11-06,184
2019-05-10,1304,議借,320,3.0,11.75,2019-11-08,182
2019-05-23,1304,競價,34,1.5,11.85,2019-11-22,183
2019-05-23,1304,競價,34,1.5,11.85,2019-11-22,183
2019-06-04,1304,議借,264,2.79,11.85,2019-12-04,183
2019-06-13,1304,議借,35,0.5,11.7,2019-12-13,183
2019-06-13,1304,議借,35,0.5,11.7,2019-12-13,183
2019-06-18,1304,議借,167,2.0,11.75,2019-12-18,183
2019-07-09,1304,議借,1000,2.25,12.05,2020-01-09,184
2019-07-09,1304,議借,1000,2.25,12.05,2020-01-09,184
2019-07-16,1304,議借,635,6.0,12.1,2020-01-16,184
2019-07-16,1304,議借,635,6.0,12.1,2020-01-16,184
2019-07-19,1304,競價,45,1.5,12.15,2020-01-17,182
2019-07-19,1304,競價,45,1.5,12.15,2020-01-17,182
2019-07-24,1304,議借,300,2.5,12.05,2020-01-24,184
2019-07-24,1304,議借,1000,2.5,12.05,2020-01-24,184
2019-07-24,1304,議借,1000,2.5,12.05,2020-01-24,184
2019-07-24,1304,議借,300,2.5,12.05,2020-01-24,184
2019-08-20,1304,議借,33,0.5,12.35,2020-02-20,184
2019-08-20,1304,議借,205,0.5,12.35,2020-02-20,184
2019-08-20,1304,議借,205,0.5,12.35,2020-02-20,184
2019-08-20,1304,議借,33,0.5,12.35,2020-02-20,184
2020-01-02,1304,議借,193,2.5,14.0,2020-07-02,182
2020-01-07,1304,議借,163,2.5,14.0,2020-07-07,182
2020-03-05,1304,議借,310,1.55,12.25,2020-09-04,183
2020-03-09,1304,競價,37,1.5,11.65,2020-09-09,184
2020-03-09,1304,議借,320,1.55,11.65,2020-09-09,184
2020-03-09,1304,議借,320,1.55,11.65,2020-09-09,184
2020-03-09,1304,競價,37,1.5,11.65,2020-09-09,184
2020-03-10,1304,議借,1216,0.41,11.6,2020-09-10,184
2020-03-10,1304,議借,1216,0.41,11.6,2020-09-10,184
2020-03-16,1304,議借,521,0.41,10.0,2020-09-16,184
2020-03-18,1304,競價,34,2.0,9.5,2020-09-18,184
2020-03-18,1304,競價,10,1.5,9.5,2020-09-18,184
2020-03-18,1304,競價,65,1.5,9.5,2020-09-18,184
2020-03-18,1304,競價,77,1.5,9.5,2020-09-18,184
2020-03-24,1304,議借,230,2.0,8.9,2020-09-24,184
2020-03-24,1304,議借,230,2.0,8.9,2020-09-24,184
2020-03-27,1304,議借,850,1.5,9.7,2020-09-25,182
2020-03-27,1304,議借,870,2.0,9.7,2020-09-25,182
2020-03-27,1304,議借,850,1.5,9.7,2020-09-25,182
2020-03-27,1304,議借,870,2.0,9.7,2020-09-25,182
2020-04-06,1304,議借,81,0.41,10.0,2020-10-06,183
2020-04-10,1304,競價,5,2.0,10.95,2020-10-08,181
2020-04-10,1304,競價,5,2.0,10.95,2020-10-08,181
2020-04-24,1304,議借,21,0.5,11.8,2020-10-23,182
2020-04-24,1304,議借,21,0.5,11.8,2020-10-23,182
2020-04-28,1304,議借,41,0.5,11.95,2020-10-28,183
2020-04-28,1304,議借,41,0.5,11.95,2020-10-28,183
2020-05-06,1304,議借,244,1.55,12.25,2020-11-06,184
2020-05-06,1304,議借,8,0.5,12.25,2020-11-06,184
2020-05-12,1304,議借,92,1.0,12.05,2020-11-12,184
2020-05-12,1304,議借,450,1.0,12.05,2020-11-12,184
2020-05-12,1304,議借,450,1.0,12.05,2020-11-12,184
2020-05-12,1304,議借,92,1.0,12.05,2020-11-12,184
2020-05-14,1304,議借,49,0.5,11.85,2020-11-13,183
2020-05-14,1304,議借,49,0.5,11.85,2020-11-13,183
2020-05-20,1304,議借,77,0.5,12.2,2020-11-20,184
2020-05-20,1304,議借,77,0.5,12.2,2020-11-20,184
2020-05-27,1304,議借,96,0.5,11.95,2020-11-27,184
2020-05-27,1304,議借,96,0.5,11.95,2020-11-27,184
2020-06-02,1304,議借,184,0.5,12.0,2020-12-02,183
2020-06-08,1304,議借,250,1.5,12.5,2020-12-08,183
2020-06-12,1304,議借,260,1.55,11.8,2020-12-11,182
2020-06-12,1304,議借,260,1.55,11.8,2020-12-11,182
2020-06-15,1304,議借,250,1.25,11.7,2020-12-15,183
2020-06-15,1304,議借,250,1.25,11.7,2020-12-15,183
2020-06-16,1304,議借,530,1.25,11.95,2020-12-16,183
2020-06-16,1304,議借,530,1.25,11.95,2020-12-16,183
2020-06-30,1304,議借,780,1.5,12.3,2020-12-30,183
2020-06-30,1304,議借,780,1.5,12.3,2020-12-30,183
2020-07-08,1304,議借,260,1.5,12.5,2021-01-08,184
2020-07-16,1304,議借,500,1.5,12.7,2021-01-15,183
2020-07-16,1304,議借,500,1.5,12.7,2021-01-15,183
2020-09-01,1304,議借,485,0.2,13.1,2021-03-01,181
2020-09-01,1304,議借,485,0.2,13.1,2021-03-01,181
2020-09-03,1304,議借,400,1.5,13.8,2021-03-03,181
2020-09-03,1304,議借,400,1.5,13.8,2021-03-03,181
2020-09-08,1304,議借,910,1.25,15.3,2021-03-08,181
2020-09-08,1304,議借,910,1.25,15.3,2021-03-08,181
2020-09-10,1304,議借,173,0.9,17.2,2021-03-10,181
2020-09-10,1304,議借,350,0.2,17.2,2021-03-10,181
2020-09-10,1304,議借,417,1.5,17.2,2021-03-10,181
2020-09-10,1304,議借,173,0.9,17.2,2021-03-10,181
2020-09-10,1304,議借,417,1.5,17.2,2021-03-10,181
2020-09-10,1304,議借,350,0.2,17.2,2021-03-10,181
2020-09-11,1304,議借,171,1.4,16.2,2021-03-11,181
2020-09-11,1304,議借,417,0.2,16.2,2021-03-11,181
2020-09-11,1304,議借,630,1.5,16.2,2021-03-11,181
2020-09-11,1304,議借,171,1.4,16.2,2021-03-11,181
2020-09-11,1304,議借,630,1.5,16.2,2021-03-11,181
2020-09-11,1304,議借,417,0.2,16.2,2021-03-11,181
2020-09-14,1304,議借,271,1.45,15.9,2021-03-12,179
2020-09-14,1304,議借,271,1.45,15.9,2021-03-12,179
2020-09-16,1304,議借,495,1.5,16.2,2021-03-16,181
2020-09-16,1304,議借,495,1.5,16.2,2021-03-16,181
2020-09-17,1304,競價,300,0.1,17.55,2021-03-17,181
2020-09-17,1304,議借,2039,1.45,17.55,2021-03-17,181
2020-09-17,1304,議借,2039,1.45,17.55,2021-03-17,181
2020-09-17,1304,競價,300,0.1,17.55,2021-03-17,181
2020-09-18,1304,議借,2272,1.5,17.5,2021-03-18,181
2020-09-18,1304,議借,407,0.2,17.5,2021-03-18,181
2020-09-22,1304,議借,1600,1.0,17.0,2021-03-22,181
2020-09-22,1304,議借,874,0.2,17.0,2021-03-22,181
2020-09-25,1304,議借,183,1.4,15.6,2021-03-25,181
2020-09-25,1304,議借,183,1.4,15.6,2021-03-25,181
2020-09-28,1304,議借,420,1.4,16.0,2021-03-26,179
2020-10-08,1304,議借,230,1.3,16.35,2021-04-08,182
2020-10-08,1304,議借,230,1.3,16.35,2021-04-08,182
2020-10-12,1304,議借,1000,1.0,16.2,2021-04-12,182
2020-10-12,1304,議借,4500,0.41,16.2,2021-04-12,182
2020-10-12,1304,議借,4500,0.41,16.2,2021-04-12,182
2020-10-12,1304,議借,1000,1.0,16.2,2021-04-12,182
2020-10-29,1304,競價,250,0.2,17.95,2021-04-29,182
2020-11-02,1304,議借,1315,0.64,17.95,2021-04-29,178
2020-11-02,1304,競價,74,0.5,17.95,2021-04-29,178
2020-11-02,1304,議借,1480,0.2,17.95,2021-04-29,178
2020-11-09,1304,議借,1929,1.3,19.1,2021-05-07,179
2020-11-09,1304,競價,190,0.5,19.1,2021-05-07,179
2020-11-09,1304,競價,18,2.0,19.1,2021-05-07,179
2020-11-12,1304,議借,1087,1.3,19.6,2021-05-12,181
2020-11-13,1304,議借,157,1.3,19.25,2021-05-13,181
2020-11-16,1304,議借,155,1.3,18.7,2021-05-14,179
2020-11-19,1304,議借,228,0.5,19.0,2021-05-19,181
2020-11-23,1304,議借,364,1.3,20.9,2021-05-21,179
2020-11-23,1304,議借,1000,1.25,20.9,2021-05-21,179
2020-11-23,1304,議借,2480,1.0,20.9,2021-05-21,179
2020-11-24,1304,議借,1833,1.2,20.2,2021-05-24,181
2020-11-25,1304,議借,168,1.1,20.1,2021-05-25,181
